year,month,date,scientific_name,common_name,latitude,longitude
2024,12,2024-12-31,Siganus fuscescens,Dusky Rabbitfish,9.7988578182,99.9889575783
2024,12,2024-12-31,Istiblennius dussumieri,Dussumier's Rockskipper,9.7920835406,100.0074749144
2024,12,2024-12-31,Pomacentridae,Damselfishes,9.7985825972,99.9890623466
2024,12,2024-12-31,Pomacanthus annularis,Bluering Angelfish,7.7017099814,98.7465483294
2024,12,2024-12-31,Cephalopholis formosa,Bluelined Rockcod,7.9548314106,98.8013255276
2024,12,2024-12-31,Boleophthalmus boddarti,Boddart's Blue-spotted Mudskipper,13.5162416667,100.6545722222
2024,12,2024-12-31,Amphiprion ocellaris,Ocellaris Anemonefish,7.9633282537,98.8014298698
2024,12,2024-12-31,Pao,Pao pufferfish,8.9115593404,98.526844047
2024,12,2024-12-31,Toxotes chatareus,Spotted Archerfish,14.0542283,100.5516214
2024,12,2024-12-31,Barbonymus altus,Red-tailed Tinfoil Barb,14.0508906,100.5490467
2024,12,2024-12-31,Arothron reticularis,Reticulated Puffer,8.7379611111,98.2214361111
2024,12,2024-12-31,Cyprinus rubrofuscus,Amur Carp,13.7291509072,100.5575001481
2024,12,2024-12-31,Pterois miles,Indian Lionfish,7.7024714508,98.7539470604
2024,12,2024-12-31,Scorpaenopsis oxycephala,Smallscale Scorpionfish,7.6619354905,98.7543442366
2024,12,2024-12-31,Oreochromis niloticus,Nile Tilapia,13.7330775072,100.5527547374
2024,12,2024-12-31,Channa lucius,Forest Snakehead,14.0719743,100.6071634
2024,12,2024-12-31,Channa micropeltes,Giant Snakehead,14.0757569,100.6025894
2024,12,2024-12-31,Tylosurus crocodilus,Houndfish,7.53452161,99.04984779
2024,12,2024-12-31,Rasbora borapetensis,Red-tailed Rasbora,11.5052974857,99.5810399081
2024,12,2024-12-31,Trichopsis vittata,Croaking Gourami,11.5052777433,99.581089969
2024,12,2024-12-31,Barbonymus gonionotus,Java Barb,13.7314281,100.5416984
2024,12,2024-12-31,Salariinae,,9.7992254069,99.9547355335
2024,12,2024-12-31,Poecilia reticulata,Guppy,13.8344080828,100.5886138704
2024,12,2024-12-31,Pterygoplichthys,Sailfin Catfishes,13.7314281,100.5416984
2024,12,2024-12-31,Barbonymus gonionotus,Java Barb,13.7314281,100.5416984
2024,12,2024-12-31,Chlorurus,,7.7643802574,98.7588618113
2024,12,2024-12-31,Chaetodon andamanensis,Andaman Butterflyfish,7.7652604128,98.7635934135
