fish_id,country
1225,Thailand
704,Thailand
2429,Thailand
813,Thailand
816,Thailand
1909,Thailand
235,Thailand
736,Thailand
243,Thailand
2430,Thailand
796,Thailand
393,Thailand
84,Thailand
2431,Thailand
614,Thailand
1855,Thailand
2432,Thailand
2433,Thailand
824,Thailand
275,Thailand
559,Thailand
576,Thailand
88,Thailand
2434,Thailand
2435,Thailand
2436,Thailand
2437,Thailand
1814,Thailand
76,Thailand
2438,Thailand
140,Thailand
287,Thailand
1595,Thailand
2439,Thailand
1997,Thailand
426,Thailand
4,Thailand
1099,Thailand
1623,Thailand
1958,Thailand
1749,Thailand
688,Thailand
638,Thailand
1040,Thailand
780,Thailand
1061,Thailand
237,Thailand
1631,Thailand
78,Thailand
2440,Thailand
302,Thailand
2441,Thailand
477,Thailand
840,Thailand
299,Thailand
2442,Thailand
2443,Thailand
2444,Thailand
2445,Thailand
267,Thailand
2446,Thailand
216,Thailand
116,Thailand
684,Thailand
2447,Thailand
971,Thailand
217,Thailand
2448,Thailand
2449,Thailand
1428,Thailand
529,Thailand
6,Thailand
2450,Thailand
271,Thailand
1580,Thailand
1281,Thailand
1561,Thailand
536,Thailand
1513,Thailand
599,Thailand
873,Thailand
1402,Thailand
208,Thailand
2451,Thailand
1614,Thailand
139,Thailand
1328,Thailand
1123,Thailand
1014,Thailand
227,Thailand
723,Thailand
2452,Thailand
368,Thailand
2453,Thailand
190,Thailand
2454,Thailand
1583,Thailand
204,Thailand
444,Thailand
1901,Thailand
1537,Thailand
1522,Thailand
456,Thailand
2455,Thailand
1389,Thailand
2456,Thailand
2457,Thailand
1458,Thailand
578,Thailand
2458,Thailand
2077,Thailand
2459,Thailand
801,Thailand
859,Thailand
715,Thailand
2460,Thailand
2461,Thailand
1468,Thailand
306,Thailand
597,Thailand
2462,Thailand
2056,Thailand
499,Thailand
968,Thailand
2463,Thailand
30,Thailand
1124,Thailand
433,Thailand
915,Thailand
2103,Thailand
345,Thailand
340,Thailand
2464,Thailand
1399,Thailand
794,Thailand
244,Thailand
1397,Thailand
2465,Thailand
2466,Thailand
2467,Thailand
2468,Thailand
2469,Thailand
2470,Thailand
1384,Thailand
706,Thailand
194,Thailand
183,Thailand
2471,Thailand
282,Thailand
1016,Thailand
594,Thailand
2472,Thailand
2473,Thailand
2474,Thailand
2475,Thailand
2476,Thailand
318,Thailand
1242,Thailand
1515,Thailand
2477,Thailand
36,Thailand
2478,Thailand
2479,Thailand
2480,Thailand
1526,Thailand
483,Thailand
290,Thailand
692,Thailand
630,Thailand
242,Thailand
361,Thailand
1567,Thailand
188,Thailand
2178,Thailand
133,Thailand
1438,Thailand
2481,Thailand
1462,Thailand
1382,Thailand
2482,Thailand
106,Thailand
2483,Thailand
1521,Thailand
1585,Thailand
2484,Thailand
613,Thailand
1788,Thailand
2485,Thailand
2486,Thailand
1171,Thailand
1539,Thailand
772,Thailand
1232,Thailand
725,Thailand
2487,Thailand
2488,Thailand
1660,Thailand
305,Thailand
615,Thailand
339,Thailand
2489,Thailand
2490,Thailand
1368,Thailand
1028,Thailand
277,Thailand
2491,Thailand
900,Thailand
1451,Thailand
2492,Thailand
196,Thailand
1645,Thailand
1687,Thailand
1584,Thailand
867,Thailand
2493,Thailand
761,Thailand
448,Thailand
1586,Thailand
2007,Thailand
2494,Thailand
2495,Thailand
466,Thailand
1069,Thailand
360,Thailand
353,Thailand
1059,Thailand
489,Thailand
778,Thailand
612,Thailand
831,Thailand
2496,Thailand
2497,Thailand
281,Thailand
856,Thailand
1635,Thailand
2498,Thailand
2499,Thailand
2500,Thailand
2501,Thailand
1148,Thailand
2502,Thailand
2503,Thailand
2504,Thailand
2505,Thailand
2506,Thailand
2507,Thailand
1498,Thailand
1737,Thailand
2508,Thailand
266,Thailand
2509,Thailand
1118,Thailand
973,Thailand
1010,Thailand
714,Thailand
2002,Thailand
2510,Thailand
709,Thailand
1697,Thailand
1406,Thailand
1471,Thailand
258,Thailand
1233,Thailand
1445,Thailand
2511,Thailand
2512,Thailand
442,Thailand
2513,Thailand
2514,Thailand
2184,Thailand
2515,Thailand
2516,Thailand
1990,Thailand
2517,Thailand
1380,Thailand
618,Thailand
1424,Thailand
2026,Thailand
479,Thailand
2518,Thailand
962,Thailand
2519,Thailand
1243,Thailand
2520,Thailand
2521,Thailand
2522,Thailand
2523,Thailand
34,Thailand
990,Thailand
2524,Thailand
2525,Thailand
2526,Thailand
2527,Thailand
1026,Thailand
2528,Thailand
2529,Thailand
54,Thailand
259,Thailand
1563,Thailand
2530,Thailand
1247,Thailand
2531,Thailand
261,Thailand
2532,Thailand
2533,Thailand
2534,Thailand
2535,Thailand
850,Thailand
170,Thailand
2536,Thailand
950,Thailand
1072,Thailand
2537,Thailand
1634,Thailand
5,Thailand
883,Thailand
1837,Thailand
1704,Thailand
767,Thailand
670,Thailand
862,Thailand
2538,Thailand
659,Thailand
222,Thailand
2539,Thailand
791,Thailand
2540,Thailand
2541,Thailand
1265,Thailand
855,Thailand
2542,Thailand
758,Thailand
1062,Thailand
203,Thailand
2543,Thailand
2544,Thailand
58,Thailand
372,Thailand
2545,Thailand
485,Thailand
2546,Thailand
2547,Thailand
1009,Thailand
134,Thailand
77,Thailand
425,Thailand
2548,Thailand
2549,Thailand
763,Thailand
44,Thailand
29,Thailand
480,Thailand
2137,Thailand
