date,common_name,latitude,longitude,country,image,Year,Month
2016-02-03,Giant Moray,7.2148311221,99.0708808601,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/247871410/medium.jpg,2016,2
2016-02-03,White-Eyed Moray,8.831291474,98.2038008049,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/257881062/medium.jpg,2016,2
2016-01-10,White-Eyed Moray,10.1089031308,99.8148513484,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/257881062/medium.jpg,2016,1
2016-01-09,White-Eyed Moray,8.7442361175,98.0545660471,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/257881062/medium.jpg,2016,1
2016-01-09,Laced Moray,8.7657354998,98.0701600018,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/220011/medium.jpg,2016,1
2016-01-08,Zebra Moray,9.0585801673,97.8192948767,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/73521761/medium.jpg,2016,1
2016-01-07,Giant Moray,8.8242254224,97.7976738363,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/247871410/medium.jpg,2016,1
2017-12-24,Zebra Moray,7.6378071927,98.7675545365,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/73521761/medium.jpg,2017,12
2017-12-23,Yellowmargin Moray,7.6147594637,98.7675548717,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/5795146/medium.jpg,2017,12
2017-12-20,Iridescent Shark,13.6300670551,100.429360128,Thailand,https://static.inaturalist.org/photos/107142935/medium.jpg,2017,12
2017-12-06,Snowflake Moray,7.6166799336,98.7640646473,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/84610411/medium.jpg,2017,12
2017-11-29,Giant Moray,7.622826443,98.7803409621,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/247871410/medium.jpg,2017,11
2017-11-28,Giant Moray,7.5621317898,98.7675542012,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/247871410/medium.jpg,2017,11
2017-11-26,Laced Moray,7.6370395754,98.7741433829,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/220011/medium.jpg,2017,11
2017-11-17,Undulated Moray,7.6562621525,98.7664900745,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/487402168/medium.jpg,2017,11
2017-10-25,Sharksucker,7.9582440498,98.8070917733,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/469526131/medium.jpg,2017,10
2017-10-06,Sharksucker,10.4843826242,99.4178442398,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/469526131/medium.jpg,2017,10
2017-09-09,Iridescent Shark,13.4429811831,100.2218778399,Thailand,https://static.inaturalist.org/photos/107142935/medium.jpg,2017,9
2017-08-31,Sharksucker,7.6586252905,98.7672185898,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/469526131/medium.jpg,2017,8
2017-08-30,Yellowmargin Moray,7.6776854605,98.7707161903,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/5795146/medium.jpg,2017,8
2017-08-21,Iridescent Shark,13.7035010854,100.5391363805,Thailand,https://static.inaturalist.org/photos/107142935/medium.jpg,2017,8
2017-08-05,Common Dolphinfish,5.8703754304,102.8960284218,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/361046854/medium.jpg,2017,8
2017-07-28,White-Eyed Moray,5.9455355176,102.6637112539,Thailand,https://inaturalist-open-data.s3.amazonaws.com/photos/257881062/medium.jpg,2017,7
