country,common_name,total_observations
Indonesia,"White-Spine Surgeonfish",58
Indonesia,"Nosestripe Sandperch",58
Indonesia,"Humphead Batfish",58
Indonesia,Fusilier,57
Indonesia,"Ornate Emperor",57
Indonesia,"Blotched Goby",57
Indonesia,"Broom Filefish",57
Indonesia,"Yellowfin Flasher Wrasse",57
Indonesia,"Australian Bluespotted Maskray",57
Indonesia,"Moses' Snapper",57
Indonesia,"Yellowstripe Goby",57
Indonesia,Silverbiddie,57
Indonesia,"Silver Rasbora",57
Indonesia,"Midas Cichlid",57
Indonesia,"Chameleon Parrotfish",56
Indonesia,"Snubnose Gobie",56
Indonesia,"Monocle Bream",56
Indonesia,"Dotted Butterflyfish",55
Indonesia,"Yellow Pygmy Goby",55
Indonesia,"Ruby-Headed Fairy Wrasse",55
Indonesia,"Blood Parrot Cichlid",55
Indonesia,"Tailspot Lizardfish",55
Indonesia,"Orangespotted Emperor",55
Indonesia,"Japanese Leatherjacket",55
Indonesia,"Carps And Minnow",55
Indonesia,"Southern Platyfish",55
Indonesia,"Clown Blenny",55
Indonesia,"Malay Combtail Gourami",55
Indonesia,"Blackspot Sergeant",54
Indonesia,"Blue-Axil Chromi",54
Indonesia,"Longbarbel Goatfish",54
Indonesia,"Solor Wrasse",54
Indonesia,"Blackmargin Damsel",54
Indonesia,"Blacktip Sandgoby",54
Indonesia,"Whitebelly Roguefish",54
Indonesia,Wedgefish,54
Indonesia,"Coral Catshark",53
Indonesia,"Speckled Sandperch",53
Indonesia,"Marbled Snake Eel",53
Indonesia,"Great Blue-Spotted Mudskipper",53
Indonesia,"Papua Scorpionfish",53
Indonesia,"Narrow-Banded Spanish Mackerel",53
Indonesia,"Guineafowl Puffer",53
Indonesia,"Two-Eyed Coralfish",53
Indonesia,"Pacific Starry Dragonet",53
Indonesia,"Scaly Puller",53
Indonesia,Chrysiptera,53
Indonesia,"Goldlined Sweetlip",53
Indonesia,"Stony Coral Ghostgoby",53
Indonesia,"Thread Pipefish",53
Indonesia,"Star-Eye Parrotfish",52
Indonesia,"Whitepatch Razorfish",52
Indonesia,"Purple-Eye Goby",52
Indonesia,"Pale-Barred Cori",52
Indonesia,"Wolf Cardinalfish",52
Indonesia,"Blue-Eyed Mulletgoby",52
Indonesia,"Harlequin Rasbora",52
Indonesia,"Blue Peacock Bas",52
Indonesia,"Gilded Triggerfish",51
Indonesia,"Morrison'S Dragonet",51
Indonesia,"Sea Catfish",51
Indonesia,"Fringelip Mullet",51
Indonesia,"Sergeant Major",51
Indonesia,"Squaretail Coralgrouper",51
Indonesia,"Blackbanded Snapper",51
Indonesia,"Stocky Anthia",51
Indonesia,"Yellowstripe Scad",51
Indonesia,"Highfin Grouper",51
Indonesia,"Elegant Sand Diver",51
Indonesia,"Disappearing Wrasse",51
Indonesia,"Pacific Longnose Parrotfish",51
Indonesia,"Spotnape Butterflyfish",51
Indonesia,"Spiny Waspfish",50
Indonesia,Halichoeres,50
Indonesia,"Spectacled Filefish",50
Indonesia,"Butterfly Whiptail",50
Indonesia,"Indo-Pacific Bottlenose Dolphin",50
Indonesia,"Oceanic Manta Ray",50
Indonesia,"Grey Reef Shark",50
Indonesia,"Peaceful Betta",50
Indonesia,"Striped Barracuda",50
Indonesia,"Whitespotted Grouper",50
Indonesia,Saurida,50
Indonesia,"Arcfin Shrimpgoby",50
Indonesia,"Poropuntius Deauratus",50
Indonesia,"Northern Fatnose Goby",49
Indonesia,Siluroidei,49
Indonesia,"Spotted Rasbora",49
Indonesia,"Black-Tail Sergeant",49
Indonesia,"Cross'S Damselfish",49
Indonesia,"Bluespine Unicornfish",49
Indonesia,"Sign Eviota",49
Indonesia,"Tiger Sole",49
Indonesia,"Eviota Pictifacies",48
Indonesia,"Copper Sweeper",48
Indonesia,"Spotted-Gill Cardinalfish",48
Indonesia,"Yellowface Wrasse",48
Indonesia,"Axilspot Wrasse",48
Indonesia,"Whitemargin Unicornfish",48
Indonesia,"Banda Blenny",48
Indonesia,"Mackerel Tuna",48
Indonesia,"Dussumier'S Rockskipper",48
Indonesia,"Purple Dottyback",48
Indonesia,"Sabre Squirrelfish",48
Indonesia,"Bluelip Bristletooth",47
Indonesia,"Crosshatch Goby",47
Indonesia,"Argus Wrasse",47
Indonesia,"Suckermouth Catfish",47
Indonesia,"Crocodile Pikehead Gourami",47
Indonesia,Bothus,47
Indonesia,"Whiptail Stingray",47
Indonesia,"Pearl Danio",46
Indonesia,"Bornean Leaffish",46
Indonesia,"Redhead Cichlid",46
Indonesia,"Maori Wrasse",46
Indonesia,"Whiptail Bream",46
Indonesia,Stingfish,46
Indonesia,"Yelloweyed Cardinalfish",46
Indonesia,"Bigscale Soldierfish",45
Indonesia,"Crosshatch Butterflyfish",45
Indonesia,"Cockerel Wrasse",45
Indonesia,"Fivestripe Wrasse",45
Indonesia,"Scalloped Hammerhead",45
Indonesia,"Threadfin Eartheater",45
Indonesia,Grouper,45
Indonesia,"Viviparous Halfbeak",45
Indonesia,"Threadfin Bream",45
Indonesia,Ecsenius,45
Indonesia,"Wrasses And Allie",45
Indonesia,"Bubblefin Wrasse",45
Indonesia,"Bigeye Barracuda",44
Indonesia,"Large Whipgoby",44
Indonesia,"Common Rasbora",44
Indonesia,"Barbodes Sealei",44
Indonesia,"Clouded Lizardfish",44
Indonesia,"Giant Queenfish",44
Indonesia,"Black Widow Tetra",44
Indonesia,"Slender Sandgoby",44
Indonesia,"Springer'S Demoiselle",44
Indonesia,"Mangrove Cardinalfish",44
Indonesia,"White-Spotted Wrasse",44
Indonesia,"Crown Squirrelfish",44
Indonesia,"Rasbora Cephalotaenia",44
Indonesia,Chub,44
Indonesia,Pterois,44
Indonesia,"Terry'S Pygmygoby",43
Indonesia,"Starry Blenny",43
Indonesia,"Whitetail Damsel",43
Indonesia,"Kabili Bumblebee Goby",43
Indonesia,"Amphiprion Percula",43
Indonesia,Flatfish,43
Indonesia,"Barred Yellowtail Scad",43
Indonesia,"Twin Dwarfgoby",42
Indonesia,"Smallspotted Dart",42
Indonesia,Amphilophus,42
Indonesia,"Torpedo Scad",42
Indonesia,"Red Devil Cichlid",42
Indonesia,"Bump-Head Mola",42
Indonesia,"Blackspine Unicornfish",42
Indonesia,"Leopard Coralgrouper",42
Indonesia,"Spotted Moray",42
Indonesia,"Lyretail Hawkfish",42
Indonesia,Synchiropus,41
Indonesia,"Leafy Filefish",41
Indonesia,"Diagonal Shrimpgoby",41
Indonesia,Blubberlip,41
Indonesia,"Fan Shrimpgoby",41
Indonesia,"Raggy Scorpionfish",41
Indonesia,"Marbled Stargazer",41
Indonesia,"Discus Cichlid",41
Indonesia,"Barbonymus Collingwoodii",41
Indonesia,"Pacific Peacock Flounder",41
Indonesia,"Six-Banded Tiger Barb",41
Indonesia,"Leopard Blenny",41
Indonesia,"Candystripe Cardinalfish",41
Indonesia,"Kissing Gourami",41
Indonesia,"Pale Dwarfgoby",41
Indonesia,"Brownstripe Snapper",40
Indonesia,Thalassoma,40
Indonesia,Jawfish,40
Indonesia,"Clown Knifefish",40
Indonesia,"Leopard Wrasse",40
Indonesia,Parascorpaena,40
Indonesia,"Yellowspotted Scorpionfish",40
Indonesia,"Tomato Grouper",40
Indonesia,"Pink Demoiselle",40
Indonesia,"Silverlined Cardinalfish",40
Indonesia,"Spotted Butterflyfish",39
Indonesia,"Peacock Damsel",39
Indonesia,"Slender Maori Wrasse",39
Indonesia,"Orangeback Wrasse",39
Indonesia,"Sillago Whiting",39
Indonesia,Tylosurus,39
Indonesia,"Sailfin Shrimpgoby",39
Indonesia,"Freckled Goby",38
Indonesia,"Satun Betta",38
Indonesia,"Manylined Cardinalfish",38
Indonesia,"Rosy Threadfin Bream",38
Indonesia,Flyingfish,38
Indonesia,"Emperor Snakehead",38
Indonesia,"Striped Flying Barb",38
Indonesia,"Pearl Gourami",38
Indonesia,Pufferfish,38
Indonesia,Amblyeleotris,38
Indonesia,"False Cleanerfish",38
Indonesia,Pempheris,38
Indonesia,"Blackstripe Dottyback",38
Indonesia,"Cutribbon Wrasse",38
Indonesia,"Eyespot Surgeonfish",37
Indonesia,"Stargazer Snake Eel",37
Indonesia,"Yellowbreast Wrasse",37
Indonesia,"Yellowlined Snapper",37
Indonesia,"Snubnose Dart",37
Indonesia,"Eibl'S Angelfish",37
Indonesia,"Yellow-Eyed Puffer",37
Indonesia,"Blue Unicornfish",37
Indonesia,"Bluelined Rockcod",37
Indonesia,Sardinella,37
Indonesia,"Reptilian Snake Eel",37
Indonesia,"Chocolate Gourami",37
Indonesia,"Orange-Spotted Pipefish",37
Indonesia,"Arrowhead Soapfish",37
Indonesia,"Twostripe Eviota",36
Indonesia,Amblyglyphidodon,36
Indonesia,Caesio,36
Indonesia,Gobblegut,36
Indonesia,"Common Molly",36
Indonesia,"Freckled Grouper",36
Indonesia,"Poss' Scorpionfish",36
Indonesia,"Violet Demoiselle",36
Indonesia,Moolgarda,36
Indonesia,"Pacific Crown Toby",36
Indonesia,Pygmygobie,36
Indonesia,"Blackfin Sweetlip",36
Indonesia,"Richardson'S Moray",36
Indonesia,"Typical Sea Turtle",36
Indonesia,"Blotched Fantail Ray",35
Indonesia,"Requiem Shark",35
Indonesia,"Nemacheilus Chrysolaimos",35
Indonesia,"Batuna Damsel",35
Indonesia,"Rainbow Wrasses And Allie",35
Indonesia,"Goldback Damsel",35
Indonesia,"Frecklefin Spiny Eel",35
Indonesia,"Orange-Socket Surgeonfish",35
Indonesia,"Ornate Hawkfish",35
Indonesia,"Rasbora Dusonensis",35
Indonesia,Petroscirtes,35
Indonesia,"Wassinki Cardinalfish",35
Indonesia,"Ringed Slender Wrasse",35
Indonesia,"Hairfin Eviota",35
Indonesia,"Yellowfoot Shrimpgoby",35
Indonesia,"Yellowlined Cardinalfish",35
Indonesia,Plectorhinchus,34
Indonesia,"Threespot Squirrelfish",34
Indonesia,"Toothy Cardinalfish",34
Indonesia,"Ocellate Butterflyfish",34
Indonesia,"Indian Redfin Butterflyfish",34
Indonesia,"Shark Catfish",34
Indonesia,"Hazeus Profusus",34
Indonesia,"Roughsnout Ghostpipefish",34
Indonesia,"Beardless Barb",34
Indonesia,Cynoglossus,34
Indonesia,"Spotted Sicklefish",34
Indonesia,"Terengganu Betta",34
Indonesia,Dermogenys,34
Indonesia,"Javaen Barb",34
Indonesia,"Stocky Hawkfish",34
Indonesia,Ablabys,34
Indonesia,"Pacific Surge Demoiselle",34
Indonesia,Parupeneus,34
Indonesia,"Largemouth Threefin",34
Indonesia,"Indian Mud Moray",33
Indonesia,"Three Twinspot Flounder",33
Indonesia,"Atlantic Tripletail",33
Indonesia,Trachyrhamphus,33
Indonesia,"Yellowtail Sergeant",33
Indonesia,"Snake Eel",33
Indonesia,"Clearfin Lionfish",33
Indonesia,"True Sole",33
Indonesia,"Brown Drombu",33
Indonesia,"Barred Trevally",33
Indonesia,"Darkspotted Sole",33
Indonesia,Goatfish,33
Indonesia,"Reticulated Puffer",33
Indonesia,"Threeline Monocle Bream",32
Indonesia,"Giant Arapaima",32
Indonesia,"Curious Wormfish",32
Indonesia,"Bridled Triggerfish",32
Indonesia,"Nudiantennarius Subteres",32
Indonesia,"Indian Doublebar Goatfish",32
Indonesia,Hemibagrus,32
