country,common_name,total_observations
Indonesia,"Twospot Wrasse",231
Indonesia,"Bluestriped Fangblenny",230
Indonesia,"Penang Betta",230
Indonesia,"Sailfin Catfish",229
Indonesia,"Raccoon Butterflyfish",229
Indonesia,"Pennant Bannerfish",228
Indonesia,"Black Damsel",228
Indonesia,"Panda Butterflyfish",228
Indonesia,"Ornate Butterflyfish",227
Indonesia,"Channa Limbata",227
Indonesia,"Redfin Hogfish",226
Indonesia,"Flagtail Triggerfish",226
Indonesia,"Swarthy Parrotfish",225
Indonesia,"Golden Spadefish",225
Indonesia,"Giant Frogfish",224
Indonesia,"Fimbriated Moray",223
Indonesia,"Yellow-Spotted Mudskipper",222
Indonesia,"Freckled Goatfish",220
Indonesia,"White Damsel",220
Indonesia,"Gobies And Allie",220
Indonesia,"Three-Striped Whiptail",219
Indonesia,"Humbug Dascyllu",219
Indonesia,"Ternate Chromi",218
Indonesia,"Blackbelt Hogfish",218
Indonesia,"Banggai Cardinalfish",218
Indonesia,"Reticulated Sandperch",215
Indonesia,"Bird Wrasse",215
Indonesia,"Blue-And-Yellow Fusilier",213
Indonesia,"Whitebelly Damsel",213
Indonesia,"Lei Triggerfish",211
Indonesia,"Goldbelly Damsel",211
Indonesia,Mullet,208
Indonesia,"Zigzag Wrasse",208
Indonesia,"Saddle Butterflyfish",208
Indonesia,"Blackblotched Porcupinefish",208
Indonesia,"Narrowlined Puffer",207
Indonesia,"Pacific Sailfin Tang",207
Indonesia,"Spotted Parrotfish",207
Indonesia,"Neon Fusilier",206
Indonesia,"Slender Grouper",205
Indonesia,"Copperband Butterflyfish",204
Indonesia,"Flagtail Grouper",204
Indonesia,"Pacific Orange-Spine Unicornfish",203
Indonesia,"Orangebanded Coralfish",201
Indonesia,"Yellowmask Surgeonfish",201
Indonesia,Sharksucker,199
Indonesia,"Pale Monocle Bream",199
Indonesia,"Papuan Toby",197
Indonesia,"Blacktip Grouper",197
Indonesia,"Threespot Angelfish",196
Indonesia,"Ambon Damsel",196
Indonesia,"Semicircle Angelfish",195
Indonesia,"Rockmover Wrasse",194
Indonesia,"Redlip Parrotfish",194
Indonesia,"Sharptooth Catfish",194
Indonesia,Zenarchopterus,193
Indonesia,"Eightband Butterflyfish",193
Indonesia,"Blueface Angelfish",193
Indonesia,"Pixy Hawkfish",191
Indonesia,"Threadfin Butterflyfish",191
Indonesia,"Bicolor Chromi",191
Indonesia,"Orangeblotch Surgeonfish",190
Indonesia,Cichlid,190
Indonesia,"Pearlscale Angelfish",189
Indonesia,"Blackvent Damsel",188
Indonesia,"Latticed Sandperch",187
Indonesia,"Croaking Gourami",187
Indonesia,"Floral Maori Wrasse",187
Indonesia,"Giant Trevally",186
Indonesia,"Sharpnose Sandperch",185
Indonesia,"Orange-Spotted Trevally",185
Indonesia,"Devil Scorpionfish",184
Indonesia,"Doublebar Rabbitfish",183
Indonesia,"Yellowtail Fusilier",183
Indonesia,"Yellowtail Wrasse",181
Indonesia,"Wrasses And Parrotfish",180
Indonesia,"Spotted Barb",180
Indonesia,"Common Snapper",179
Indonesia,"Dragon Seamoth",179
Indonesia,"Blue Demoiselle",179
Indonesia,"Giant Snakehead",179
Indonesia,"Golden Rabbitfish",179
Indonesia,"Many-Host Ghostgoby",178
Indonesia,"Jewel Damsel",178
Indonesia,"Decorated Sandgoby",177
Indonesia,"Painted Sweetlip",175
Indonesia,"Reeftop Pipefish",175
Indonesia,"Keyhole Angelfish",175
Indonesia,"Humpback Snapper",174
Indonesia,"Dwarf Hawkfish",173
Indonesia,"Pacific Double-Saddle Butterflyfish",173
Indonesia,"Asian Arowana",173
Indonesia,"Climbing Perch",172
Indonesia,"Palenose Parrotfish",172
Indonesia,Parrotfish,172
Indonesia,"Bluespotted Puffer",172
Indonesia,"Thornback Cowfish",172
Indonesia,"Teardrop Butterflyfish",172
Indonesia,"Doublebar Goatfish",172
Indonesia,"Twotone Dartfish",171
Indonesia,"Bluespotted Maskray",171
Indonesia,"Orange And Black Dragonet",170
Indonesia,"Oriental Flying Gurnard",170
Indonesia,"Crescent-Tail Bigeye",170
Indonesia,"Canary Wrasse",169
Indonesia,"Pinstriped Wrasse",169
Indonesia,"Oriental Bluespotted Maskray",169
Indonesia,"Round Batfish",168
Indonesia,"Spiny Chromi",167
Indonesia,"Crescent Grunter",166
Indonesia,"Brilliant Rasbora",166
Indonesia,"Barred Soapfish",165
Indonesia,"Longnose Butterflyfish",165
Indonesia,"Meyer'S Butterflyfish",164
Indonesia,"Squarespot Anthia",164
Indonesia,"Orange-Dashed Goby",164
Indonesia,"Ringtail Cardinalfish",164
Indonesia,"Longhorn Cowfish",163
