year,month,date,scientific_name,common_name,latitude,longitude
2024,5,2024-05-31,Yasuhikotakia modesta,Orange-finned Loach,17.2933392365,104.8043165461
2024,5,2024-05-31,Eleotridae,Sleepers,11.6340669582,102.5490032136
2024,5,2024-05-30,Oreochromis niloticus,Nile Tilapia,5.7007520003,100.6625281054
2024,5,2024-05-30,Labidochromis,Lab Cichlids,7.00528623,100.4883454
2024,5,2024-05-30,Myleinae,,7.0052276,100.48841271
2024,5,2024-05-30,Toxotes chatareus,Spotted Archerfish,13.6975051599,100.5650844812
2024,5,2024-05-30,Halophryninae,,12.6311277778,101.4938361111
2024,5,2024-05-30,Epinephelus coioides,Goldspotted Rockcod,12.633375,101.4784416667
2024,5,2024-05-30,Chirocentrus dorab,Dorab Wolf Herring,12.6753027778,101.6333388889
2024,5,2024-05-30,Scomberoides commersonnianus,Giant Queenfish,12.6753027778,101.6333388889
2024,5,2024-05-30,Platax orbicularis,Round Batfish,12.6753027778,101.6333388889
2024,5,2024-05-30,Scomberomorus commerson,Narrow-banded Spanish Mackerel,12.728116026,101.6446114867
2024,5,2024-05-30,Epinephelus quoyanus,Longfin Rockcod,12.6753027778,101.6333388889
2024,5,2024-05-30,Cephalopholis formosa,Bluelined Rockcod,12.6753027778,101.6333388889
2024,5,2024-05-30,Scarus ghobban,Blue-barred Parrotfish,12.6754560997,101.63230028
2024,5,2024-05-29,Puntius,,17.1327712394,102.9669457017
2024,5,2024-05-29,Dichotomyctere nigroviridis,Green Spotted Puffer,7.160575,100.53695
2024,5,2024-05-29,Boleophthalmus boddarti,Boddart's Blue-spotted Mudskipper,12.4202239,102.5298028
2024,5,2024-05-29,Neolissochilus stracheyi,Blue Mahseer Barb,12.6787944679,99.5825159166
2024,5,2024-05-29,Channa striata,Striped Snakehead,14.8945680585,100.3965026513
2024,5,2024-05-29,Cypriniformes,"Minnows, Suckers, Carps, and Loaches",17.1328721667,102.9669833333
2024,5,2024-05-29,Trichopsis vittata,Croaking Gourami,17.1328721667,102.9669833333
2024,5,2024-05-29,Chanda siamensis,Siamese glassfish,17.1327833333,102.9668116667
2024,5,2024-05-29,Congrogadus subducens,Carpet Eel Blenny,9.5810328945,99.9557426199
2024,5,2024-05-28,Monopterus javanensis,Sunda Swamp Eel,17.1328416667,102.96685
2024,5,2024-05-28,Triacanthidae,Tripodfishes,10.60765,104.2270583333
2024,5,2024-05-28,Muraenesox,,10.5920777778,104.1927583333
2024,5,2024-05-28,Trichopodus trichopterus,Three Spot Gourami,16.944725,101.69445
2024,5,2024-05-28,Poecilia reticulata,Guppy,16.8150588269,101.7599052823
2024,5,2024-05-28,Poecilia reticulata,Guppy,16.9441616667,101.694245
2024,5,2024-05-28,Notopterus notopterus,Bronze Featherback,13.6074212416,100.5982477355
2024,5,2024-05-28,Cichlinae,South and Central American Cichlids,13.7361583333,100.5308083333
2024,5,2024-05-28,Osphronemus goramy,Giant Gourami,6.5544510734,101.2902959269
2024,5,2024-05-28,Cyprinus rubrofuscus,Amur Carp,6.5544723013,101.2902021007
2024,5,2024-05-28,Trachinotus baillonii,Smallspotted Dart,10.6719783333,103.2567283333
2024,5,2024-05-27,Chrysiptera unimaculata,Onespot Demoiselle,9.5802229249,99.9543575943
2024,5,2024-05-27,Anodontostoma chacunda,Chacunda Gizzard Shad,12.2914277778,102.4812805556
2024,5,2024-05-27,Atropus armatus,Longfin Trevally,12.2914277778,102.4812805556
2024,5,2024-05-27,Toxotes chatareus,Spotted Archerfish,18.803882,98.948147
2024,5,2024-05-27,Actinopterygii,Ray-finned Fishes,9.5678403988,99.9149660021
2024,5,2024-05-27,Gymnothorax thyrsoideus,White-eyed Moray,10.172483,99.778683
