year,month,date,scientific_name,common_name,latitude,longitude
2025,2,2025-02-28,Lutjanus quinquelineatus,Fiveline Snapper,7.7874989362,98.2910694927
2025,2,2025-02-28,Gymnothorax javanicus,Giant Moray,7.7874989362,98.2910694927
2025,2,2025-02-28,Diodon liturosus,Blackblotched Porcupinefish,7.7871338658,98.2895560563
2025,2,2025-02-28,Gymnothorax thyrsoideus,White-eyed Moray,7.7995470694,98.4088834417
2025,2,2025-02-28,Abudefduf sordidus,Blackspot Sergeant,7.9802979175,98.2760854196
2025,2,2025-02-28,Caranx sexfasciatus,Bigeye Trevally,7.9805047585,98.275826198
2025,2,2025-02-28,Betta splendens,Siamese Fighting Fish,12.6239140227,101.5880665582
2025,2,2025-02-28,Arothron hispidus,White-spotted Puffer,7.9806307792,98.2759831229
2025,2,2025-02-28,Opsanus tau,Oyster Toadfish,8.2744616735,98.5005003959
2025,2,2025-02-28,Siganus javus,Java Rabbitfish,7.9805805044,98.2762003899
2025,2,2025-02-28,Abudefduf bengalensis,Bengal Sergeant,7.9803839522,98.275967609
2025,2,2025-02-28,Gymnothorax fimbriatus,Fimbriated Moray,9.6544180479,98.4355265024
2025,2,2025-02-28,Carassius auratus,Goldfish,12.7849777778,101.5685805556
2025,2,2025-02-28,Abudefduf sexfasciatus,Scissortail Sergeant,5.7946283799,102.8919727846
2025,2,2025-02-28,Channa limbata,,7.3882876387,99.8743921933
2025,2,2025-02-28,Cephalopholis formosa,Bluelined Rockcod,12.5912745859,100.9635829915
2025,2,2025-02-28,Chelmon rostratus,Copperband Butterflyfish,12.5913164691,100.9634971608
2025,2,2025-02-28,Pomacanthus sexstriatus,Sixband Angelfish,12.591339628,100.9634327888
2025,2,2025-02-28,Lepidocephalichthys,,8.2376257,98.9193295997
2025,2,2025-02-28,Cyprinus rubrofuscus,Amur Carp,13.712955,100.5378633333
2025,2,2025-02-28,Tor,True Mahseers,8.655345,98.2840883333
2025,2,2025-02-28,Plotosus canius,Eel Catfish,12.6753083333,101.6333361111
2025,2,2025-02-28,Corythoichthys,,7.8011693613,98.4074997447
2025,2,2025-02-28,Channa micropeltes,Giant Snakehead,12.7816722222,101.6543444444
2025,2,2025-02-28,Trichopodus pectoralis,Snakeskin gourami,12.7816166667,101.6542722222
2025,2,2025-02-28,Barbonymus gonionotus,Java Barb,13.8666381836,100.7041320801
2025,2,2025-02-27,Gambusia affinis,Western Mosquitofish,13.6418090123,100.5840558895
2025,2,2025-02-27,Channa gachua,Dwarf Snakehead,10.7343713423,103.8500264218
2025,2,2025-02-27,Crossocheilus reticulatus,Silver Flying Fox,11.6170550642,104.9393903231
2025,2,2025-02-27,Rasbora rubrodorsalis,Cherryspot Rasbora,11.8328910053,104.7433183522
2025,2,2025-02-27,Sargocentron rubrum,Red Squirrelfish,7.7977573174,98.3409076184
2025,2,2025-02-27,Channa striata,Striped Snakehead,13.7392841247,100.5242777243
2025,2,2025-02-27,Boleophthalmus boddarti,Boddart's Blue-spotted Mudskipper,8.0668839997,98.9174591997
2025,2,2025-02-27,Eubleekeria rapsoni,,7.8060397088,98.34007781
2025,2,2025-02-27,Parachaetodon ocellatus,Ocellate Butterflyfish,12.5254933732,100.9584421802
2025,2,2025-02-27,Abudefduf sordidus,Blackspot Sergeant,12.5255143201,100.9583778072
2025,2,2025-02-27,Pomacentrus chrysurus,Whitetail Damsel,12.5254514792,100.9583992649
2025,2,2025-02-27,Scolopsis monogramma,Rainbow Monocle Bream,12.5253908494,100.9584850966
2025,2,2025-02-27,Esomus metallicus,Striped Flying Barb,16.577805,104.12835
2025,2,2025-02-27,Carangiformes,"Jacks, Flounders, Barracudas, and Allies",7.6768138889,98.7656944444
2025,2,2025-02-27,Chelmon rostratus,Copperband Butterflyfish,12.5216995956,100.9735188479
2025,2,2025-02-27,Istigobius,,12.5218462266,100.9735403056
2025,2,2025-02-27,Plectroglyphidodon obreptus,Western Gregory,12.5219300156,100.9734544749
2025,2,2025-02-27,Trachyrhamphus,,12.5220138046,100.9733686442
2025,2,2025-02-27,Actinopterygii,Ray-finned Fishes,10.5893366877,103.3055480942
2025,2,2025-02-27,Arapaima gigas,Giant arapaima,12.76595,100.93038
2025,2,2025-02-27,Abudefduf sexfasciatus,Scissortail Sergeant,12.522307066,100.9732613559
