common_name,country,total_observations
"Andaman Damselfish",Thailand,7
"Andaman Damselfish",Indonesia,5
"Andaman Grunt",Thailand,3
"Andaman Hind",Thailand,38
"Andaman Leg Skate",Thailand,1
"Andaman Silverside",Thailand,1
Andamia,Indonesia,21
Andamia,Philippines,5
Andamia,Thailand,1
"Anderson'S Pipefish",Indonesia,19
"Anderson'S Pipefish",Philippines,1
Andinoacara,Indonesia,2
"Andover Lionfish",Philippines,1
"Andrew Rao'S Snakehead",Indonesia,4
Anemonefish,Indonesia,100
Anemonefish,Thailand,51
Anemonefish,Philippines,28
Angelfish,Thailand,2
Angelfish,Indonesia,1
Angler,Indonesia,1
Angler,Thailand,1
"Angler Flatfish",Indonesia,1
Anglerfish,Indonesia,7
Anglerfish,Philippines,1
"Angular Flasher Wrasse",Philippines,3
"Angular Flasher Wrasse",Indonesia,2
Anodontostoma,Indonesia,2
Anodontostoma,Thailand,1
Antennarioidei,Indonesia,13
Antennarioidei,Philippines,8
Antennarius,Indonesia,157
Antennarius,Philippines,102
Antennarius,Thailand,3
Antennatus,Indonesia,2
Anthias,Indonesia,3
Anthiase,Indonesia,19
Anthiase,Philippines,6
"Antipatharia Goby",Philippines,8
"Antipatharia Goby",Indonesia,6
Aphareus,Indonesia,3
Aphareus,Philippines,2
Aplocheilus,Indonesia,8
Aplocheilus,Thailand,3
"Apocryptes Bato",Thailand,1
Apogon,Philippines,5
Apogon,Indonesia,3
Apogonichthyoides,Indonesia,7
Apogonichthyoides,Philippines,2
"Apogonichthyoides Cathetogramma",Philippines,1
Apogonichthys,Indonesia,1
Apolemichthys,Indonesia,3
"Apollo Betta",Thailand,17
"Apollo Betta",Indonesia,16
"Apollo Shark",Indonesia,15
Aprion,Philippines,1
"Apterygocampus Epinnulatus",Philippines,5
"Arabian Angelfish",Indonesia,1
"Arabian Picasso Triggerfish",Indonesia,1
Aracana,Indonesia,2
"Aral Barbel",Indonesia,2
Arapaima,Indonesia,8
Arapaima,Thailand,3
Arapaima,Philippines,1
"Arc-Eye Hawkfish",Indonesia,126
"Arc-Eye Hawkfish",Philippines,14
"Arcfin Shrimpgoby",Indonesia,50
"Arcfin Shrimpgoby",Philippines,31
Archerfish,Thailand,33
Archerfish,Indonesia,21
Archerfish,Philippines,6
"Archerfishs And Beachsalmon",Thailand,1
"Areolate Grouper",Indonesia,73
"Areolate Grouper",Philippines,12
"Areolate Grouper",Thailand,10
"Argentine Humphead",Indonesia,1
"Argus Wrasse",Thailand,71
"Argus Wrasse",Indonesia,47
"Argus Wrasse",Philippines,42
Ariinae,Indonesia,12
Ariinae,Thailand,3
Ariopsis,Indonesia,1
Ariosoma,Indonesia,6
Ariosoma,Philippines,6
Ariosoma,Thailand,3
Arius,Thailand,12
Arius,Indonesia,11
"Arius Gagora",Indonesia,2
"Arius Manillensis",Philippines,1
"Arius Utik",Indonesia,4
"Armitage Angelfish",Thailand,1
"Armored Catfish",Indonesia,6
"Armored Catfish",Philippines,2
"Armored Searobin",Indonesia,4
"Armored Searobin",Philippines,2
"Arnaz'S Damselfish",Indonesia,6
Arothron,Indonesia,25
Arothron,Thailand,8
Arothron,Philippines,8
Arowana,Indonesia,63
Arowana,Thailand,6
Arowana,Philippines,1
"Arrow Loach",Thailand,2
"Arrow Loach",Indonesia,2
"Arrowfin Bigeye",Indonesia,4
"Arrowfin Bigeye",Philippines,2
"Arrowfin Gobie",Philippines,1
"Arrowfin Gobie",Indonesia,1
"Arrowhead Puffer",Thailand,3
"Arrowhead Puffer",Indonesia,1
"Arrowhead Soapfish",Indonesia,37
"Aru Gudgeon",Indonesia,1
Aseraggodes,Indonesia,18
Aseraggodes,Philippines,10
Aseraggodes,Thailand,1
"Aseraggodes Xenicus",Indonesia,3
"Asia-Pacific Arowana",Indonesia,13
"Asia-Pacific Arowana",Thailand,1
"Asian Arowana",Indonesia,173
"Asian Arowana",Thailand,38
"Asian Arowana",Philippines,1
"Asian Banjo Catfish",Indonesia,5
"Asian Butterflyfish",Philippines,1
"Asian Dwarf Mudskipper",Indonesia,11
"Asian Dwarf Mudskipper",Thailand,6
"Asian Estuarine Blenny",Philippines,2
"Asian Featherback",Indonesia,1
"Asian Glass Catfish",Indonesia,12
"Asian Glass Catfish",Thailand,2
"Asian Glassfish",Indonesia,30
"Asian Glassfish",Thailand,21
"Asian Glassfish",Philippines,3
"Asian Leaffish",Thailand,1
"Asian Leaffish",Indonesia,1
"Asian Redtail Catfish",Thailand,22
"Asian Redtail Catfish",Indonesia,1
"Asian Snakehead",Indonesia,115
"Asian Snakehead",Thailand,68
"Asian Snakehead",Philippines,3
"Asian Stinging Catfish",Indonesia,1
"Asian Stinging Catfish",Thailand,1
"Asian Swamp Eel",Thailand,35
"Asian Swamp Eel",Philippines,7
"Asian Swamp Eel",Indonesia,6
"Asian Whiting",Thailand,3
Aspidontus,Indonesia,6
Aspidontus,Philippines,3
Aspidontus,Thailand,1
"Aspro Loach Goby",Indonesia,5
"Aspro Loach Goby",Philippines,1
"Assamese Snakehead",Indonesia,2
Asterorhombus,Indonesia,2
"Asymmetric Goatfish",Philippines,1
Atelomycterus,Indonesia,11
Atelomycterus,Philippines,6
Atelomycterus,Thailand,4
Atherina,Thailand,3
Atherina,Indonesia,3
Atherina,Philippines,1
Atherinomorus,Indonesia,4
Atherinomorus,Thailand,3
"Atlantic Blue Tang",Indonesia,5
"Atlantic Blue Tang",Thailand,1
"Atlantic Bumper",Indonesia,1
"Atlantic Capelin",Thailand,1
"Atlantic Chub Mackerel",Thailand,1
"Atlantic Creolefish",Philippines,1
"Atlantic Crevalle Jack",Indonesia,2
"Atlantic Goliath Grouper",Indonesia,2
"Atlantic Herring",Philippines,1
"Atlantic Mackerel",Indonesia,1
"Atlantic Menhaden",Indonesia,1
"Atlantic Mudskipper",Indonesia,1
"Atlantic Needlefish",Indonesia,1
"Atlantic Peacock Flounder",Indonesia,1
"Atlantic Salmon",Indonesia,7
"Atlantic Salmon",Thailand,2
"Atlantic Salmons And Trout",Indonesia,1
"Atlantic Sergeant Major",Indonesia,4
"Atlantic Sergeant Major",Thailand,1
"Atlantic Spadefish",Indonesia,1
"Atlantic Stingray",Indonesia,3
"Atlantic Tarpon",Indonesia,3
"Atlantic Tripletail",Indonesia,33
"Atlantic Tripletail",Thailand,11
"Atoll Scorpionfish",Indonesia,1
Atropus,Indonesia,4
Atropus,Thailand,2
Atropus,Philippines,1
Atrosalarias,Indonesia,3
Atrosalarias,Philippines,2
Atule,Indonesia,1
Auchenoglanis,Indonesia,1
Aurigequula,Thailand,1
Aurigequula,Indonesia,1
Aurigequula,Philippines,1
"Australasian Rainbowfish",Thailand,2
"Australasian Rainbowfish",Indonesia,2
"Australian Bluespotted Maskray",Indonesia,57
"Australian Codlet",Thailand,1
"Australian Goatfish",Indonesia,2
"Australian Humpback Dolphin",Indonesia,6
"Australian Long-Finned Eel",Indonesia,1
"Australian Pineapplefish",Indonesia,4
Awaous,Indonesia,3
"Axilspot Hogfish",Indonesia,29
"Axilspot Hogfish",Thailand,7
"Axilspot Hogfish",Philippines,4
"Axilspot Wrasse",Indonesia,48
"Axilspot Wrasse",Philippines,44
"Azure Damsel",Philippines,7
"Azure Demoiselle",Indonesia,8
"Backspot Flying Fish",Indonesia,3
"Bagan Anchovy",Thailand,1
"Bagarius Lica",Indonesia,9
"Bagarius Lica",Thailand,4
"Bagrichthys Macropterus",Indonesia,1
"Bagrid Catfish",Indonesia,13
"Bagrid Catfish",Thailand,8
"Bagrid Catfish",Philippines,1
"Bagroides Melapterus",Indonesia,6
"Bala Shark",Indonesia,4
"Bala Shark",Thailand,1
Balaenoptera,Thailand,13
Balaenoptera,Indonesia,7
Balaenoptera,Philippines,1
"Baleen Whale",Indonesia,1
"Bali Catshark",Indonesia,3
Balistes,Indonesia,1
Balistoides,Indonesia,1
Balitora,Thailand,1
"Balitora Annamitica",Thailand,1
"Balitora Burmanica",Thailand,1
"Balitoropsis Ophiolepis",Indonesia,1
"Balitoropsis Zollingeri",Indonesia,4
"Balitoropsis Zollingeri",Thailand,3
"Balunga Betta",Indonesia,1
"Bamboo Shark",Thailand,26
"Bamboo Shark",Indonesia,17
"Bamboo Shark",Philippines,5
"Banda Blenny",Indonesia,48
"Banda Cardinalfish",Indonesia,14
"Banda Cardinalfish",Philippines,7
"Banded Archerfish",Indonesia,407
"Banded Archerfish",Thailand,115
"Banded Archerfish",Philippines,31
"Banded Cichlid",Indonesia,2
"Banded Damsel",Indonesia,1
"Banded Damselfish",Indonesia,65
"Banded Damselfish",Philippines,22
"Banded Damselfish",Thailand,1
"Banded Eagle Ray",Indonesia,1
"Banded Frogfish",Indonesia,6
"Banded Frogfish",Philippines,1
"Banded Garden Eel",Philippines,5
"Banded Garden Eel",Indonesia,4
"Banded Gourami",Indonesia,24
"Banded Gourami",Thailand,4
"Banded Grunter",Indonesia,2
"Banded Ilisha",Indonesia,1
"Banded Jewel Cichlid",Indonesia,5
"Banded Jewelfish",Indonesia,1
"Banded Knifefish",Indonesia,1
"Banded Leporinu",Indonesia,11
"Banded Mud Moray",Indonesia,20
"Banded Mud Moray",Philippines,1
"Banded Mulletgoby",Indonesia,90
"Banded Mulletgoby",Thailand,4
"Banded Panchax",Indonesia,2
"Banded Pipefish",Indonesia,279
"Banded Pipefish",Philippines,202
"Banded Pipefish",Thailand,1
"Banded Rainbowfish",Indonesia,6
"Banded Rainbowfish",Philippines,2
"Banded Sergeant",Indonesia,58
"Banded Sergeant",Thailand,25
"Banded Sergeant",Philippines,7
"Banded Sicklefish",Indonesia,4
"Banded Sicklefish",Thailand,1
"Banded Silverbiddy",Indonesia,10
"Banded Snake Eel",Indonesia,137
"Banded Snake Eel",Philippines,38
"Banded Snake Eel",Thailand,5
"Banded-Tail Glassy Perchlet",Thailand,4
"Banded-Tail Glassy Perchlet",Indonesia,3
"Banggai Cardinalfish",Indonesia,218
"Banggai Cardinalfish",Thailand,7
"Banggai Damselfish",Philippines,2
"Banggai Damselfish",Indonesia,2
"Bangka Rasbora",Indonesia,16
"Bangka Rasbora",Thailand,8
"Banka Snakehead",Indonesia,27
Bannerfish,Thailand,24
Bannerfish,Indonesia,13
Bannerfish,Philippines,3
"Baram Snakehead",Indonesia,13
"Baram Snakehead",Philippines,1
Barb,Indonesia,29
Barb,Thailand,2
"Barbel Flyingfish",Indonesia,1
Barbfish,Philippines,1
"Barbichthys Laevis",Indonesia,5
Barbodes,Indonesia,105
Barbodes,Thailand,26
Barbodes,Philippines,19
"Barbodes Aurotaeniatus",Thailand,2
"Barbodes Bunau",Indonesia,1
"Barbodes Palavanensis",Philippines,1
"Barbodes Sealei",Indonesia,44
"Barbodes Sealei",Philippines,2
"Barbodes Zakariaismaili",Indonesia,2
"Barbonymus Balleroides",Indonesia,15
"Barbonymus Collingwoodii",Indonesia,41
"Barbour'S Seahorse",Indonesia,10
"Barbour'S Seahorse",Philippines,2
"Barbour'S Seahorse",Thailand,1
"Barca Snakehead",Thailand,1
"Barca Snakehead",Indonesia,1
"Barcheek Amoya",Indonesia,1
"Barcheek Trevally",Indonesia,72
"Barcheek Trevally",Philippines,28
"Barchin Scorpionfish",Indonesia,23
"Barchin Scorpionfish",Philippines,7
"Barchin Scorpionfish",Thailand,1
"Barcoo Grunter",Indonesia,4
"Barehead Glassfish",Philippines,2
"Barhead Damsel",Indonesia,61
"Barhead Damsel",Philippines,28
"Barhead Pipefish",Indonesia,1
Barilius,Indonesia,1
"Barito Betta",Indonesia,1
"Barnes' Garden Eel",Philippines,28
"Barnes' Garden Eel",Indonesia,11
"Barnes' Hardyhead",Indonesia,3
Barracuda,Thailand,88
Barracuda,Indonesia,71
Barracuda,Philippines,51
Barracudina,Indonesia,1
Barramundi,Indonesia,93
Barramundi,Thailand,49
Barramundi,Philippines,1
"Barred Angelfish",Indonesia,60
"Barred Angelfish",Philippines,8
"Barred Bichir",Indonesia,3
"Barred Blenny",Indonesia,8
"Barred Filefish",Indonesia,78
"Barred Filefish",Philippines,5
"Barred Filefish",Thailand,2
"Barred Javelin",Indonesia,30
"Barred Javelin",Thailand,6
"Barred Jawfish",Indonesia,1
"Barred Loach",Indonesia,17
"Barred Moray",Indonesia,28
"Barred Moray",Philippines,9
"Barred Moray",Thailand,1
"Barred Mudskipper",Indonesia,298
"Barred Mudskipper",Thailand,48
"Barred Mudskipper",Philippines,35
"Barred Queenfish",Indonesia,3
"Barred Queenfish",Thailand,2
"Barred Queenfish",Philippines,1
"Barred Rabbitfish",Indonesia,85
"Barred Rabbitfish",Philippines,2
"Barred Sand Conger",Indonesia,14
"Barred Sand Conger",Philippines,1
"Barred Shortbody Pipefish",Philippines,2
"Barred Shrimpgoby",Indonesia,151
"Barred Shrimpgoby",Philippines,38
"Barred Shrimpgoby",Thailand,9
"Barred Soapfish",Indonesia,165
"Barred Soapfish",Thailand,87
"Barred Soapfish",Philippines,48
"Barred Sorubim",Indonesia,2
"Barred Sorubim",Thailand,1
"Barred Thicklip",Indonesia,133
"Barred Thicklip",Philippines,54
"Barred Thicklip",Thailand,18
"Barred Trevally",Indonesia,33
"Barred Trevally",Philippines,7
"Barred Trevally",Thailand,3
"Barred Yellowtail Scad",Indonesia,43
"Barred Yellowtail Scad",Thailand,27
"Barred Yellowtail Scad",Philippines,4
"Barred-Fin Moray",Philippines,90
"Barred-Fin Moray",Indonesia,72
"Barred-Fin Moray",Thailand,2
"Barrel-Sponge Goby",Indonesia,14
"Barrel-Sponge Goby",Philippines,13
"Barrel-Sponge Goby",Thailand,5
"Bartail Flathead",Indonesia,12
"Bartail Flathead",Thailand,7
"Bartail Flathead",Philippines,1
"Bartel'S Dragonet",Indonesia,8
"Bartel'S Dragonet",Philippines,1
Basa,Indonesia,2
Basa,Thailand,2
"Batanta Rainbowfish",Indonesia,2
"Batasio Fluviatilis",Thailand,13
"Batasio Fluviatilis",Indonesia,3
"Batasio Tigrinus",Thailand,3
"Bath'S Blenny",Indonesia,85
Bathycongrus,Thailand,1
Bathygobius,Indonesia,82
Bathygobius,Thailand,21
Bathygobius,Philippines,11
Batrachomoeus,Indonesia,4
Batrachomoeus,Philippines,1
"Batu Cori",Thailand,29
"Batu Cori",Indonesia,1
"Batuna Damsel",Indonesia,35
"Batuna Damsel",Philippines,17
"Bay Anchovy",Indonesia,3
"Bay Of Bengal Hogfish",Thailand,37
"Bay Snook",Indonesia,1
