common_name,country,year,total_observations
"Common Bottlenose Dolphin",Philippines,2023,1
"Sliteye Shark",Philippines,2023,1
"Snaggletooth Shark",Philippines,2023,1
"Oceanic Dolphin",Philippines,2023,1
"Zebra Shark",Philippines,2023,1
"Bamboo Shark",Philippines,2023,1
"Tiger Shark",Philippines,2023,1
"Blackspot Shark",Philippines,2023,1
"Pelagic Thresher Shark",Philippines,2024,65
"Whitetip Reef Shark",Philippines,2024,49
"Whale Shark",Philippines,2024,41
Sharksucker,Philippines,2024,16
"Grey Reef Shark",Philippines,2024,15
"Blacktip Reef Shark",Philippines,2024,15
"Requiem Shark",Philippines,2024,7
"Brown-Banded Bamboo Shark",Philippines,2024,7
"Coral Catshark",Philippines,2024,6
"White-Spotted Bamboo Shark",Philippines,2024,5
"Typical Requiem Shark",Philippines,2024,5
"Ground Shark",Philippines,2024,4
"Spinner Dolphin",Philippines,2024,4
"Bamboo Shark",Philippines,2024,3
"Sharpnose Shark",Philippines,2024,3
"Spot-Tail Shark",Philippines,2024,3
"Sicklefin Weasel Shark",Philippines,2024,2
"Carpet Shark",Philippines,2024,2
"Tiger Shark",Philippines,2024,2
"Sicklefin Lemon Shark",Philippines,2024,2
"Short-Finned Pilot Whale",Philippines,2024,2
"Silky Shark",Philippines,2024,1
"Indonesian Whaler",Philippines,2024,1
"Galean Shark",Philippines,2024,1
"Zebra Shark",Philippines,2024,1
"Tawny Nurse Shark",Philippines,2024,1
"Prickly Shark",Philippines,2024,1
"Common Dolphinfish",Philippines,2024,1
"Shark Catfish",Philippines,2024,1
"Bull Shark",Philippines,2024,1
"False Killer Whale",Philippines,2024,1
"Oceanic Dolphin",Philippines,2024,1
"Irrawaddy Dolphin",Philippines,2024,1
"Reticulated Swellshark",Philippines,2024,1
"Melon-Headed Whale",Philippines,2024,1
"Thresher Shark",Philippines,2024,1
"Zebra Hornshark",Philippines,2024,1
"Spotted-Belly Catshark",Philippines,2024,1
"Pelagic Thresher Shark",Philippines,2025,31
"Whitetip Reef Shark",Philippines,2025,14
"Blacktip Reef Shark",Philippines,2025,10
"Whale Shark",Philippines,2025,8
Sharksucker,Philippines,2025,6
"White-Spotted Bamboo Shark",Philippines,2025,5
"Pantropical Spotted Dolphin",Philippines,2025,2
"Coral Catshark",Philippines,2025,2
"Typical Requiem Shark",Philippines,2025,2
"Hardnose Shark",Philippines,2025,2
"Tiger Shark",Philippines,2025,2
"Sicklefin Weasel Shark",Philippines,2025,2
"Brown-Banded Bamboo Shark",Philippines,2025,2
"Nurse Shark",Philippines,2025,2
"Common Dolphinfish",Philippines,2025,2
"Indo-Pacific Bottlenose Dolphin",Philippines,2025,1
"Pilot Whales And Allie",Philippines,2025,1
"Rough-Toothed Dolphin",Philippines,2025,1
"Spot-Tail Shark",Philippines,2025,1
"Bull Shark",Philippines,2025,1
"Bluntnose Sixgill Shark",Philippines,2025,1
"Requiem Shark",Philippines,2025,1
"Shark Catfish",Philippines,2025,1
"Iridescent Shark",Philippines,2025,1
"Smalleye Pygmy Shark",Philippines,2025,1
"Short-Finned Pilot Whale",Philippines,2025,1
"Iridescent Shark",Thailand,2015,7
"Common Dolphinfish",Thailand,2015,6
"Blacktip Reef Shark",Thailand,2015,4
Sharksucker,Thailand,2015,2
"Eden'S Whale",Thailand,2015,2
"Coral Catshark",Thailand,2015,1
"Grey Bamboo Shark",Thailand,2015,1
"Eden'S Whale (Eden'S)",Thailand,2015,1
"Whale Shark",Thailand,2015,1
"Zebra Shark",Thailand,2015,1
"Blacktip Reef Shark",Thailand,2016,7
"Zebra Shark",Thailand,2016,3
"Shark Catfish",Thailand,2016,1
"Whale Shark",Thailand,2016,1
"Brown-Banded Bamboo Shark",Thailand,2016,1
"Irrawaddy Dolphin",Thailand,2016,1
"Indo-Pacific Humpback Dolphin",Thailand,2016,1
"Blacktip Reef Shark",Thailand,2017,11
"Whale Shark",Thailand,2017,6
"Iridescent Shark",Thailand,2017,5
Sharksucker,Thailand,2017,4
"Indo-Pacific Common Dolphin",Thailand,2017,3
"Brown-Banded Bamboo Shark",Thailand,2017,3
"Zebra Shark",Thailand,2017,3
"Indo-Pacific Bottlenose Dolphin",Thailand,2017,2
"Common Dolphinfish",Thailand,2017,1
"Eden'S Whale",Thailand,2017,1
"Hardnose Shark",Thailand,2017,1
"Grey Bamboo Shark",Thailand,2017,1
"Spinner Dolphin",Thailand,2017,1
"Whale Shark",Thailand,2018,15
"Blacktip Reef Shark",Thailand,2018,9
"Iridescent Shark",Thailand,2018,8
"Eden'S Whale",Thailand,2018,5
"Irrawaddy Dolphin",Thailand,2018,4
"Shark Catfish",Thailand,2018,4
"Zebra Shark",Thailand,2018,3
Sharksucker,Thailand,2018,2
"Brown-Banded Bamboo Shark",Thailand,2018,2
"Whitetip Reef Shark",Thailand,2018,1
"Spinner Dolphin",Thailand,2018,1
"Red-Finned Cigar Shark",Thailand,2018,1
"Grey Bamboo Shark",Thailand,2018,1
"Coral Catshark",Thailand,2018,1
"Blacktip Reef Shark",Thailand,2019,10
"Tricolor Sharkminnow",Thailand,2019,7
"Iridescent Shark",Thailand,2019,5
"Eden'S Whale",Thailand,2019,4
"Shark Catfish",Thailand,2019,4
"Whale Shark",Thailand,2019,4
"Brown-Banded Bamboo Shark",Thailand,2019,4
"Indo-Pacific Humpback Dolphin",Thailand,2019,3
"Black Sharkminnow",Thailand,2019,2
Sharksucker,Thailand,2019,1
"Chinese High-Fin Banded Shark",Thailand,2019,1
"Galean Shark",Thailand,2019,1
"Zebra Shark",Thailand,2019,1
"Blind Shark",Thailand,2019,1
"Eden'S Whale (Eden'S)",Thailand,2019,1
"Spinner Dolphin",Thailand,2019,1
"Indo-Pacific Bottlenose Dolphin",Thailand,2019,1
"Common Bottlenose Dolphin",Thailand,2019,1
"Blacktip Reef Shark",Thailand,2020,13
"Whale Shark",Thailand,2020,10
"Eden'S Whale",Thailand,2020,8
Sharksucker,Thailand,2020,5
"Irrawaddy Dolphin",Thailand,2020,3
"Iridescent Shark",Thailand,2020,3
"Eden'S Whale (Eden'S)",Thailand,2020,3
"Zebra Shark",Thailand,2020,2
"Coral Catshark",Thailand,2020,2
"Indo-Pacific Humpback Dolphin",Thailand,2020,2
"Whitetip Reef Shark",Thailand,2020,2
"Spinner Dolphin",Thailand,2020,1
"Sand Tiger Shark",Thailand,2020,1
"Humpback Whale",Thailand,2020,1
"Brown-Banded Bamboo Shark",Thailand,2020,1
"Shark Catfish",Thailand,2020,1
"Bamboo Shark",Thailand,2020,1
"Iridescent Shark",Thailand,2021,9
"Shark Catfish",Thailand,2021,8
"Eden'S Whale",Thailand,2021,6
"Whale Shark",Thailand,2021,5
"Indo-Pacific Humpback Dolphin",Thailand,2021,3
Sharksucker,Thailand,2021,3
"Blacktip Reef Shark",Thailand,2021,3
"Irrawaddy Dolphin",Thailand,2021,3
"Brown-Banded Bamboo Shark",Thailand,2021,2
"Red-Finned Cigar Shark",Thailand,2021,2
"Zebra Shark",Thailand,2021,2
"Indo-Pacific Bottlenose Dolphin",Thailand,2021,1
"Galean Shark",Thailand,2021,1
"Whitetip Reef Shark",Thailand,2021,1
"Bamboo Shark",Thailand,2021,1
"Common Dolphinfish",Thailand,2021,1
"Tiger Shark",Thailand,2021,1
"False Killer Whale",Thailand,2021,1
"Oceanic Dolphin",Thailand,2021,1
"Eden'S Whale (Eden'S)",Thailand,2021,1
"Blacktip Reef Shark",Thailand,2022,29
"Iridescent Shark",Thailand,2022,23
"Eden'S Whale",Thailand,2022,8
"Zebra Shark",Thailand,2022,6
"Bamboo Shark",Thailand,2022,6
"Red-Finned Cigar Shark",Thailand,2022,6
"Whale Shark",Thailand,2022,4
"Indo-Pacific Humpback Dolphin",Thailand,2022,4
Sharksucker,Thailand,2022,3
"Black Sharkminnow",Thailand,2022,2
"Brown-Banded Bamboo Shark",Thailand,2022,2
"Coral Catshark",Thailand,2022,2
"False Killer Whale",Thailand,2022,2
"Irrawaddy Dolphin",Thailand,2022,2
"Shark Catfish",Thailand,2022,1
"Eden'S Whale (Eden'S)",Thailand,2022,1
"Typical Requiem Shark",Thailand,2022,1
"Long-Nosed Dolphin",Thailand,2022,1
"Grey Bamboo Shark",Thailand,2022,1
"Whitetip Reef Shark",Thailand,2022,1
"Spinner Dolphin",Thailand,2022,1
"Indo-Pacific Bottlenose Dolphin",Thailand,2022,1
"Sliteye Shark",Thailand,2022,1
"Common Dolphinfish",Thailand,2022,1
"Sand Tiger Shark",Thailand,2022,1
"Iridescent Shark",Thailand,2023,49
"Blacktip Reef Shark",Thailand,2023,34
Sharksucker,Thailand,2023,20
"Eden'S Whale",Thailand,2023,15
"Brown-Banded Bamboo Shark",Thailand,2023,13
"Shark Catfish",Thailand,2023,10
"Spot-Tail Shark",Thailand,2023,8
"Indo-Pacific Humpback Dolphin",Thailand,2023,7
"Red-Finned Cigar Shark",Thailand,2023,6
"Zebra Shark",Thailand,2023,6
"Irrawaddy Dolphin",Thailand,2023,5
"Bamboo Shark",Thailand,2023,5
"Coral Catshark",Thailand,2023,5
"Black Sharkminnow",Thailand,2023,5
"Bull Shark",Thailand,2023,4
"Whale Shark",Thailand,2023,4
"Indo-Pacific Bottlenose Dolphin",Thailand,2023,3
"Common Bottlenose Dolphin",Thailand,2023,3
"Sand Tiger Shark",Thailand,2023,3
"Oceanic Dolphin",Thailand,2023,2
"Common Dolphinfish",Thailand,2023,2
"Indonesian Bamboo Shark",Thailand,2023,2
"Typical Carpetshark",Thailand,2023,1
"Sicklefin Weasel Shark",Thailand,2023,1
"Spadenose Shark",Thailand,2023,1
"Requiem Shark",Thailand,2023,1
"Common Blacktip Shark",Thailand,2023,1
"Western Spotted Gummy Shark",Thailand,2023,1
"Spinner Shark",Thailand,2023,1
"Lantern Shark",Thailand,2023,1
"Magnificent Catshark",Thailand,2023,1
"Tiger Shark",Thailand,2023,1
"Slender Bamboo Shark",Thailand,2023,1
"Smoothbelly Catshark",Thailand,2023,1
"Pigeye Shark",Thailand,2023,1
"Rainbow Sharkminnow",Thailand,2023,1
"Tricolor Sharkminnow",Thailand,2023,1
"Side-Striped Dolphin",Thailand,2023,1
"Oceanic Dolphins And Porpoise",Thailand,2023,1
"Blacktip Reef Shark",Thailand,2024,54
"Iridescent Shark",Thailand,2024,42
"Eden'S Whale",Thailand,2024,21
Sharksucker,Thailand,2024,20
"Irrawaddy Dolphin",Thailand,2024,15
"Shark Catfish",Thailand,2024,11
"Bamboo Shark",Thailand,2024,6
"Coral Catshark",Thailand,2024,6
"Whale Shark",Thailand,2024,5
"Zebra Shark",Thailand,2024,4
"Spot-Tail Shark",Thailand,2024,4
"Brown-Banded Bamboo Shark",Thailand,2024,3
"Red-Finned Cigar Shark",Thailand,2024,3
"Indo-Pacific Humpback Dolphin",Thailand,2024,2
"Oceanic Dolphin",Thailand,2024,2
"Black Sharkminnow",Thailand,2024,2
"Pigeye Shark",Thailand,2024,1
"Tricolor Sharkminnow",Thailand,2024,1
"Long-Nosed Dolphin",Thailand,2024,1
"Common Dolphin",Thailand,2024,1
"Typical Requiem Shark",Thailand,2024,1
"Nurse Shark",Thailand,2024,1
"Sharks And Ray",Thailand,2024,1
"False Killer Whale",Thailand,2024,1
"Toothed Whale",Thailand,2024,1
"Blacktip Reef Shark",Thailand,2025,23
"Iridescent Shark",Thailand,2025,20
Sharksucker,Thailand,2025,11
"Shark Catfish",Thailand,2025,9
"Bamboo Shark",Thailand,2025,7
"Brown-Banded Bamboo Shark",Thailand,2025,6
"Zebra Shark",Thailand,2025,4
"Black Sharkminnow",Thailand,2025,4
"Indo-Pacific Bottlenose Dolphin",Thailand,2025,3
"Eden'S Whale",Thailand,2025,2
"Indo-Pacific Humpback Dolphin",Thailand,2025,2
"Common Dolphinfish",Thailand,2025,1
"Red-Finned Cigar Shark",Thailand,2025,1
"Bala Shark",Thailand,2025,1
"Pilot Whales And Allie",Thailand,2025,1
"Long-Nosed Dolphin",Thailand,2025,1
"Galean Shark",Thailand,2025,1
"Indonesian Bamboo Shark",Thailand,2025,1
"Typical Requiem Shark",Thailand,2025,1
"Grey Bamboo Shark",Thailand,2025,1
"Bull Shark",Thailand,2025,1
"Sand Tiger Shark",Thailand,2025,1
