year,month,date,scientific_name,common_name,latitude,longitude
2023,9,2023-09-30,Pomacentrus coelestis,Neon Damselfish,10.1231513538,99.8144019395
2023,9,2023-09-30,Sphyraena barracuda,Great Barracuda,12.9386555556,101.5235111111
2023,9,2023-09-30,Labeo rohita,Rohu,13.0008468611,101.4478988611
2023,9,2023-09-30,Plectropomus leopardus,Leopard Coralgrouper,10.1746038966,99.8015890469
2023,9,2023-09-30,Pomacanthus annularis,Bluering Angelfish,10.1210861,99.8153639
2023,9,2023-09-30,Pterygoplichthys,Sailfin Catfishes,18.7951924997,98.9332931
2023,9,2023-09-30,Taeniamia fucata,Orangelined Cardinalfish,10.1210861,99.8153639
2023,9,2023-09-30,Pomacentrus coelestis,Neon Damselfish,10.1210861,99.8153639
2023,9,2023-09-30,Taeniamia fucata,Orangelined Cardinalfish,10.1210861,99.8153639
2023,9,2023-09-30,Cephalopholis boenak,Chocolate Grouper,10.1210861,99.8153639
2023,9,2023-09-30,Sargocentron rubrum,Red Squirrelfish,10.1210861,99.8153639
2023,9,2023-09-30,Scolopsis margaritifera,Pearly Monocle Bream,10.1210861,99.8153639
2023,9,2023-09-30,Pomacentrus alexanderae,Alexander's Damsel,10.1210861,99.8153639
2023,9,2023-09-30,Halichoeres leucurus,Chain-lined Wrasse,10.1210861,99.8153639
2023,9,2023-09-30,Eviota atriventris,Neon Pygmy-goby,10.1210861,99.8153639
2023,9,2023-09-30,Neopomacentrus cyanomos,Regal Demoiselle,10.1210861,99.8153639
2023,9,2023-09-30,Pomacentrus alexanderae,Alexander's Damsel,10.1210861,99.8153639
2023,9,2023-09-30,Chromis cinerascens,Green Chromis,10.1210861,99.8153639
2023,9,2023-09-30,Heniochus acuminatus,Longfin Bannerfish,10.1210861,99.8153639
2023,9,2023-09-30,Siganus virgatus,Doublebar Rabbitfish,10.1117496271,99.8131017411
2023,9,2023-09-30,Cephalopholis formosa,Bluelined Rockcod,10.1117496271,99.8131017411
2023,9,2023-09-30,Cheilinus chlorourus,Floral Maori Wrasse,10.1117496271,99.8131017411
2023,9,2023-09-30,Caesio cuning,Yellowtail Fusilier,10.1117496271,99.8131017411
2023,9,2023-09-30,Neopomacentrus cyanomos,Regal Demoiselle,10.1117496271,99.8131017411
2023,9,2023-09-30,Neopomacentrus cyanomos,Regal Demoiselle,10.1117496271,99.8131017411
2023,9,2023-09-30,Eviota atriventris,Neon Pygmy-goby,10.1117496271,99.8131017411
2023,9,2023-09-30,Diademichthys lineatus,Striped Clingfish,10.1117496271,99.8131017411
2023,9,2023-09-30,Parupeneus indicus,Yellowspot Goatfish,10.1117496271,99.8131017411
2023,9,2023-09-30,Aluterus scriptus,Scrawled Filefish,10.1117496271,99.8131017411
2023,9,2023-09-29,Batrachoididae,Toadfishes,10.9731608749,98.6969955358
2023,9,2023-09-29,Epibulus insidiator,Slingjaw Wrasse,10.0647214765,99.8398925543
2023,9,2023-09-29,Neolissochilus stracheyi,Blue Mahseer Barb,13.886116714,100.5118042852
2023,9,2023-09-29,Oreochromis,Tilapias,14.429838878,101.3694413649
2023,9,2023-09-29,Oreochromis niloticus,Nile Tilapia,18.7946789,98.9782746
2023,9,2023-09-29,Cyprinus rubrofuscus,Amur Carp,14.5129317058,101.4604950938
2023,9,2023-09-29,Poropuntius deauratus,,13.0379936574,102.1583735891
2023,9,2023-09-29,Scarus rivulatus,Surf Parrotfish,10.1043137528,99.8460274292
2023,9,2023-09-29,Scarus ghobban,Blue-barred Parrotfish,10.103392896,99.8462800922
2023,9,2023-09-29,Thalassoma lunare,Moon Wrasse,10.1038811257,99.8465095874
2023,9,2023-09-29,Tylosurus crocodilus,Houndfish,10.1031799617,99.8462881397
2023,9,2023-09-29,Lutjanus argentimaculatus,Mangrove Red Snapper,10.1037957859,99.8460803507
2023,9,2023-09-28,Balistoides viridescens,Titan Triggerfish,10.0648761793,99.839716602
2023,9,2023-09-28,Oreochromis niloticus,Nile Tilapia,12.9737,102.2523583333
2023,9,2023-09-28,Clarias macrocephalus,Broadhead Catfish,12.9291285203,101.5101404499
