scientific_name,common_name,image_url
Genicanthus lamarck,Lamarck's Angelfish,https://inaturalist-open-data.s3.amazonaws.com/photos/114283469/medium.jpg
Valenciennea puellaris,Orange-dashed Goby,https://inaturalist-open-data.s3.amazonaws.com/photos/454820242/medium.jpg
Rhinopias frondosa,Weedy Scorpionfish,https://static.inaturalist.org/photos/29832944/medium.jpg
Soleichthys,Soleichthys,https://inaturalist-open-data.s3.amazonaws.com/photos/1657421/medium.jpg
Liachirus melanospilos,Darkspotted Sole,https://inaturalist-open-data.s3.amazonaws.com/photos/235589028/medium.jpg
Ostorhinchus moluccensis,Moluccan Cardinalfish,https://static.inaturalist.org/photos/29303129/medium.jpg
Parapterois heterura,Gurnard Lionfish,https://inaturalist-open-data.s3.amazonaws.com/photos/276337701/medium.jpg
Hippocampus kuda,Common Seahorse,https://static.inaturalist.org/photos/49705000/medium.jpg
Bothus pantherinus,Panther Flounder,https://inaturalist-open-data.s3.amazonaws.com/photos/56411010/medium.jpeg
Lactoria cornuta,Longhorn Cowfish,https://inaturalist-open-data.s3.amazonaws.com/photos/240512542/medium.jpeg
Canthigaster compressa,Fingerprint Toby,https://inaturalist-open-data.s3.amazonaws.com/photos/19144568/medium.jpg
Trachyrhamphus longirostris,Straightstick Pipefish,https://inaturalist-open-data.s3.amazonaws.com/photos/1388973/medium.jpg
Dactyloptena orientalis,Oriental Flying Gurnard,https://inaturalist-open-data.s3.amazonaws.com/photos/11975119/medium.jpeg
Monacanthidae,Filefishes,https://inaturalist-open-data.s3.amazonaws.com/photos/18508152/medium.jpg
Dactylopus kuiteri,Orange and Black Dragonet,https://inaturalist-open-data.s3.amazonaws.com/photos/310568/medium.jpg
Parapercis pacifica,Speckled Sandperch,https://inaturalist-open-data.s3.amazonaws.com/photos/107990181/medium.jpg
Amblyeleotris diagonalis,Diagonal Shrimpgoby,https://static.inaturalist.org/photos/27622942/medium.jpg
Parapercis xanthozona,Whitestripe Sandperch,https://inaturalist-open-data.s3.amazonaws.com/photos/259739866/medium.jpg
Fusigobius melacron,Blacktip Sandgoby,https://inaturalist-open-data.s3.amazonaws.com/photos/265910484/medium.jpeg
Hippocampus histrix,Spiny Seahorse,https://inaturalist-open-data.s3.amazonaws.com/photos/33912466/medium.jpeg
Parapercis tetracantha,Reticulated Sandperch,https://inaturalist-open-data.s3.amazonaws.com/photos/248534685/medium.jpg
Cryptocentrus fasciatus,Barred Shrimpgoby,https://inaturalist-open-data.s3.amazonaws.com/photos/255625202/medium.jpg
Rastrelliger kanagurta,Longjaw Mackerel,https://inaturalist-open-data.s3.amazonaws.com/photos/9860086/medium.jpg
Zanclus cornutus,Moorish Idol,https://inaturalist-open-data.s3.amazonaws.com/photos/3080425/medium.jpg
Chaetodon auriga,Threadfin Butterflyfish,https://inaturalist-open-data.s3.amazonaws.com/photos/14193990/medium.jpg
Scarus forsteni,Bluepatch Parrotfish,https://inaturalist-open-data.s3.amazonaws.com/photos/504019451/medium.jpeg
Rhinecanthus verrucosus,Blackpatch Triggerfish,https://static.inaturalist.org/photos/29610277/medium.jpg
Chaetodon vagabundus,Vagabond Butterflyfish,https://inaturalist-open-data.s3.amazonaws.com/photos/370078467/medium.jpg
Scarus rivulatus,Surf Parrotfish,https://inaturalist-open-data.s3.amazonaws.com/photos/60779842/medium.jpg
Acanthurus,Acanthurus,https://inaturalist-open-data.s3.amazonaws.com/photos/11763004/medium.jpg
Balistoides viridescens,Titan Triggerfish,https://inaturalist-open-data.s3.amazonaws.com/photos/264599610/medium.jpg
Acanthurus triostegus,Convict Surgeonfish,https://inaturalist-open-data.s3.amazonaws.com/photos/237987787/medium.jpg
Hippocampus bargibanti,Pygmy Seahorse,https://inaturalist-open-data.s3.amazonaws.com/photos/462814113/medium.jpg
Dischistodus melanotus,Blackvent Damsel,https://inaturalist-open-data.s3.amazonaws.com/photos/15539441/medium.jpg
Chaetodon octofasciatus,Eightband Butterflyfish,https://static.inaturalist.org/photos/34714977/medium.jpg
Actinopterygii,Ray-finned Fishes,https://inaturalist-open-data.s3.amazonaws.com/photos/252526503/medium.jpg
Pomacentridae,Damselfishes,https://inaturalist-open-data.s3.amazonaws.com/photos/15220643/medium.jpg
Pomacentrus moluccensis,Lemon Damsel,https://inaturalist-open-data.s3.amazonaws.com/photos/3017968/medium.jpg
Pentapodus bifasciatus,White-shouldered Whiptail,https://inaturalist-open-data.s3.amazonaws.com/photos/80982018/medium.jpeg
Cheilodipterus quinquelineatus,Fiveline Cardinalfish,https://inaturalist-open-data.s3.amazonaws.com/photos/231200/medium.jpg
Corythoichthys haematopterus,Reeftop Pipefish,https://inaturalist-open-data.s3.amazonaws.com/photos/131018736/medium.jpg
Dascyllus trimaculatus,Three-spot Dascyllus,https://inaturalist-open-data.s3.amazonaws.com/photos/207083638/medium.jpg
Arothron manilensis,Narrowlined Puffer,https://static.inaturalist.org/photos/78684485/medium.jpg
Scolopsis bilineata,Bridled Monocle Bream,https://inaturalist-open-data.s3.amazonaws.com/photos/15574342/medium.jpg
Chaetodon baronessa,Eastern Triangle Butterflyfish,https://inaturalist-open-data.s3.amazonaws.com/photos/244485545/medium.jpg
Parupeneus multifasciatus,Manybar Goatfish,https://inaturalist-open-data.s3.amazonaws.com/photos/252802238/medium.jpg
Scarus,Scarus,https://inaturalist-open-data.s3.amazonaws.com/photos/186563445/medium.jpg
