common_name,total_observations
"Giant Mudskipper",1418
"Green Sea Turtle",1345
"Clark'S Anemonefish",1064
"Ocellaris Anemonefish",984
"Hawksbill Sea Turtle",976
"Moorish Idol",854
"Blackspotted Puffer",830
"Striped Snakehead",809
Scorpionfish,697
"Pacific Trumpetfish",694
